E_Ha,DOS,Occupation,E_eV,E_minus_EF
0.23579979,0.00093,0.186,6.416439162412859,-4.1873686065146405
0.23679979,0.00114,0.228,6.443650548658847,-4.160157220268652
0.23779979,0.00105,0.21,6.470861934904835,-4.132945834022665
0.23879979,0.0009,0.18,6.498073321150823,-4.105734447776676
0.23979979,0.00078,0.156,6.5252847073968105,-4.078523061530689
0.24079979,0.00081,0.162,6.552496093642799,-4.0513116752847
0.24179979,0.00084,0.168,6.5797074798887865,-4.024100289038713
0.24279979,0.00078,0.156,6.606918866134774,-3.9968889027927252
0.24379979,0.00117,0.234,6.634130252380762,-3.969677516546737
0.24479979,0.0009,0.18,6.66134163862675,-3.9424661303007493
0.24579979,0.00075,0.15,6.688553024872738,-3.915254744054761
0.24679979,0.00072,0.144,6.715764411118726,-3.8880433578087734
0.24779979,0.00084,0.168,6.742975797364714,-3.860831971562785
0.24879979,0.00105,0.21,6.770187183610703,-3.8336205853167966
0.24979979,0.00057,0.114,6.79739856985669,-3.806409199070809
0.25079979,0.00126,0.252,6.824609956102679,-3.77919781282482
0.25179979,0.00123,0.246,6.851821342348667,-3.7519864265788323
0.25279979,0.00099,0.198,6.879032728594655,-3.724775040332844
0.25379979,0.001,0.2,6.906244114840643,-3.6975636540868564
0.25479979,0.00101,0.202,6.933455501086631,-3.670352267840868
0.25579979,0.00093,0.186,6.96066688733262,-3.6431408815948796
0.25679979,0.00144,0.288,6.987878273578605,-3.615929495348894
0.25779979,0.00078,0.156,7.015089659824594,-3.5887181091029055
0.25879979,0.00117,0.234,7.042301046070582,-3.561506722856917
0.25979979,0.00144,0.288,7.06951243231657,-3.5342953366109295
0.26079979,0.00099,0.198,7.096723818562558,-3.507083950364941
0.26179979,0.00126,0.252,7.123935204808546,-3.4798725641189536
0.26279979,0.0015,0.3,7.151146591054534,-3.4526611778729652
0.26379979,0.00084,0.168,7.1783579773005215,-3.4254497916269777
0.26479979,0.00091,0.182,7.20556936354651,-3.3982384053809893
0.26579979,0.00128,0.256,7.232780749792498,-3.371027019135001
0.26679979,0.00125,0.25,7.259992136038486,-3.3438156328890134
0.26779979,0.00093,0.186,7.287203522284474,-3.316604246643025
